"country","north","south","east","west"
"French Guiana","5.776496","2.127094","-51.613949","-54.542511"
"Guernsey","49.731727816705416","49.40764156876899","-2.1577152112246267","-2.673194593476069"
"Ghana","11.173301","4.736723","1.191781","-3.25542"
"Gibraltar","36.155439135670726","36.10903070140248","-5.338285164001491","-5.36626149743654"
"Greenland","83.627357","59.777401","-11.312319","-73.04203"
"Gambia","13.826571","13.064252","-13.797793","-16.825079"
"Guinea","12.67622","7.193553","-7.641071","-14.926619"
"Guadeloupe","16.516848","15.867565","-61","-61.544765"
"Equatorial Guinea","2.346989","0.92086","11.335724","9.346865"
"Greece","41.7484999849641","34.8020663391466","28.2470831714347","19.3736035624134"
"South Georgia and the South Sandwich Islands","-53.970467","-59.479259","-26.229326","-38.021175"
"Guatemala","17.81522","13.737302","-88.223198","-92.23629"
"Guam","13.654402","13.23376","144.956894","144.61806"
"Guinea-Bissau","12.680789","10.924265","-13.636522","-16.717535"
"Guyana","8.557567","1.17508","-56.480251","-61.384762"
"Hong Kong","22.559778","22.15325","114.434753","113.837753"
"Heard Island and McDonald Islands","-52.909416","-53.192001","73.859146","72.596535"
"Honduras","16.510256","12.982411","-83.155403","-89.350792"
"Croatia","46.53875","42.43589","19.427389","13.493222"
"Haiti","20.08782","18.021032","-71.613358","-74.478584"
"Hungary","48.585667","45.74361","22.906","16.111889"
"Indonesia","5.904417","-10.941861","141.021805","95.009331"
"Ireland","55.387917","51.451584","-6.002389","-10.478556"
"Israel","33.340137","29.496639","35.876804","34.270278754419145"
"Isle of Man","54.419724","54.055916","-4.3115","-4.798722"
"India","35.504223","6.747139","97.403305","68.186691"
"British Indian Ocean Territory","-5.268333","-7.438028","72.493164","71.259972"
"Iraq","37.378029","29.069445","48.575916","38.795887"
"Iran","39.777222","25.064083","63.317471","44.047279"
"Iceland","66.53463","63.393253","-13.495815","-24.546524"
"Italy","47.095196","36.652779","18.513445","6.614889"
"Jersey","49.265057","49.169834","-2.022083","-2.260028"
"Jamaica","18.526976","17.703554","-76.180321","-78.366638"
